Post_ID,Platform,Likes,Comments,Shares,Views,Post_Date
64,Facebook,1204,55,3513,324803,2023-01-01 01:03:00
65,Instagram,2580,1711,4923,249104,2023-01-01 01:04:00
66,Instagram,6634,274,4918,672805,2023-01-01 01:05:00
67,YouTube,8879,953,1675,167137,2023-01-01 01:06:00
68,LinkedIn,8779,1505,614,773968,2023-01-01 01:07:00
69,YouTube,3748,899,1117,25532,2023-01-01 01:08:00
70,LinkedIn,4788,1899,4013,892047,2023-01-01 01:09:00
71,Facebook,3879,1548,4934,434317,2023-01-01 01:10:00
72,Facebook,5961,70,407,330497,2023-01-01 01:11:00
73,YouTube,2910,168,598,800263,2023-01-01 01:12:00
74,LinkedIn,4554,1699,466,459337,2023-01-01 01:13:00
75,YouTube,6086,414,1830,100934,2023-01-01 01:14:00
76,LinkedIn,228,424,636,255586,2023-01-01 01:15:00
77,LinkedIn,8920,1275,2193,813816,2023-01-01 01:16:00
78,YouTube,1630,1575,3366,103213,2023-01-01 01:17:00
79,TikTok,1507,1145,3279,41913,2023-01-01 01:18:00
80,YouTube,1632,1155,999,755397,2023-01-01 01:19:00
81,Instagram,7368,1611,1391,268741,2023-01-01 01:20:00
82,Facebook,6239,1081,4974,4308,2023-01-01 01:21:00
83,Instagram,720,1100,3894,246394,2023-01-01 01:22:00
84,TikTok,8254,1256,1646,657012,2023-01-01 01:23:00
85,YouTube,2420,968,4221,450884,2023-01-01 01:24:00
86,YouTube,1710,1357,2257,947116,2023-01-01 01:25:00
87,YouTube,1946,572,531,742942,2023-01-01 01:26:00
88,LinkedIn,364,1808,4202,815388,2023-01-01 01:27:00
89,Twitter,634,702,1310,896393,2023-01-01 01:28:00
90,TikTok,5354,1254,2221,929435,2023-01-01 01:29:00
91,YouTube,4544,1964,2895,996588,2023-01-01 01:30:00
92,TikTok,192,561,3580,48441,2023-01-01 01:31:00
93,YouTube,1409,868,4570,460559,2023-01-01 01:32:00
94,YouTube,2113,495,1350,527465,2023-01-01 01:33:00
95,Facebook,5911,346,194,201297,2023-01-01 01:34:00
96,Instagram,7065,33,4238,526809,2023-01-01 01:35:00
97,TikTok,7846,1005,2652,391334,2023-01-01 01:36:00
98,YouTube,9566,1845,4474,880690,2023-01-01 01:37:00
99,Twitter,9080,1240,4167,934365,2023-01-01 01:38:00
100,YouTube,8627,1254,4383,647961,2023-01-01 01:39:00
101,Instagram,8074,59,2898,43711,2023-01-01 01:40:00
102,LinkedIn,174,1666,3618,63200,2023-01-01 01:41:00
103,Facebook,986,503,4001,709700,2023-01-01 01:42:00
104,TikTok,8607,272,900,443960,2023-01-01 01:43:00
105,LinkedIn,7425,97,1431,889398,2023-01-01 01:44:00
106,Facebook,7448,162,4034,253246,2023-01-01 01:45:00
107,Instagram,7511,1444,3167,310989,2023-01-01 01:46:00
108,Twitter,9914,1212,24,834455,2023-01-01 01:47:00
109,TikTok,7405,273,535,963897,2023-01-01 01:48:00
110,Instagram,3050,766,4851,848569,2023-01-01 01:49:00
111,Instagram,3135,53,4560,789273,2023-01-01 01:50:00
112,Twitter,6396,1239,4809,447441,2023-01-01 01:51:00
113,Instagram,7300,691,2455,961155,2023-01-01 01:52:00
114,Facebook,4808,1998,3411,791164,2023-01-01 01:53:00
115,TikTok,8729,272,4386,7558,2023-01-01 01:54:00
116,Twitter,4096,263,2595,223102,2023-01-01 01:55:00
117,YouTube,9108,992,214,323203,2023-01-01 01:56:00
118,Instagram,3020,1571,923,148208,2023-01-01 01:57:00
119,Instagram,869,1589,1776,990676,2023-01-01 01:58:00
120,LinkedIn,4049,1217,2819,843992,2023-01-01 01:59:00
121,Facebook,8188,1882,4410,838392,2023-01-01 02:00:00
122,YouTube,3544,354,4380,202287,2023-01-01 02:01:00
123,TikTok,4226,1357,761,550675,2023-01-01 02:02:00
124,LinkedIn,5170,1785,1213,270720,2023-01-01 02:03:00
125,LinkedIn,7558,1713,4114,475399,2023-01-01 02:04:00
126,YouTube,3172,1912,937,77599,2023-01-01 02:05:00
127,Twitter,5473,1497,544,190113,2023-01-01 02:06:00
128,LinkedIn,2029,320,3331,735142,2023-01-01 02:07:00
129,Facebook,4043,776,2022,948044,2023-01-01 02:08:00
130,Facebook,5892,1074,2363,524422,2023-01-01 02:09:00
131,Twitter,1073,544,1138,796648,2023-01-01 02:10:00
132,LinkedIn,5528,595,2895,578790,2023-01-01 02:11:00
133,LinkedIn,7712,1844,2122,275513,2023-01-01 02:12:00
134,YouTube,5025,470,3347,555018,2023-01-01 02:13:00
135,Instagram,8278,1942,3107,227492,2023-01-01 02:14:00
136,YouTube,1750,1293,2829,201939,2023-01-01 02:15:00
137,Twitter,354,1323,4055,766475,2023-01-01 02:16:00
138,TikTok,8583,1850,3983,997611,2023-01-01 02:17:00
139,TikTok,147,105,1182,803970,2023-01-01 02:18:00
140,Twitter,8804,1155,1946,807745,2023-01-01 02:19:00
141,TikTok,4516,1158,2489,548902,2023-01-01 02:20:00
142,Facebook,1029,1294,613,195872,2023-01-01 02:21:00
143,YouTube,7303,412,4399,539567,2023-01-01 02:22:00
144,LinkedIn,4139,1785,2732,264673,2023-01-01 02:23:00
145,TikTok,157,1285,3750,738192,2023-01-01 02:24:00
146,YouTube,2656,145,851,625052,2023-01-01 02:25:00
147,Instagram,582,613,1626,217397,2023-01-01 02:26:00
148,LinkedIn,6162,1529,4528,374418,2023-01-01 02:27:00
149,YouTube,8132,1088,1352,758380,2023-01-01 02:28:00
150,TikTok,7209,849,3019,300500,2023-01-01 02:29:00
151,YouTube,2254,1707,3847,651147,2023-01-01 02:30:00
152,TikTok,4044,355,2502,971353,2023-01-01 02:31:00
153,LinkedIn,8364,831,1343,181375,2023-01-01 02:32:00
154,Twitter,5089,1582,4930,780989,2023-01-01 02:33:00
155,TikTok,3371,337,3213,211929,2023-01-01 02:34:00
156,TikTok,6362,747,4127,468956,2023-01-01 02:35:00
157,TikTok,9947,1970,4611,436228,2023-01-01 02:36:00
158,Instagram,3294,1742,4554,664546,2023-01-01 02:37:00
159,Instagram,2109,247,2500,442736,2023-01-01 02:38:00
160,LinkedIn,2971,1124,3185,487414,2023-01-01 02:39:00
161,TikTok,7971,137,4476,583538,2023-01-01 02:40:00
162,TikTok,3219,1988,2987,939275,2023-01-01 02:41:00
163,TikTok,7345,1617,3746,456594,2023-01-01 02:42:00
164,Facebook,817,1874,2367,868530,2023-01-01 02:43:00
165,LinkedIn,9413,1416,2389,986107,2023-01-01 02:44:00
166,YouTube,7291,590,2226,283136,2023-01-01 02:45:00
167,Twitter,6855,312,4630,911972,2023-01-01 02:46:00
168,Facebook,5890,1465,802,266141,2023-01-01 02:47:00
169,Twitter,5766,856,4980,569735,2023-01-01 02:48:00
170,YouTube,9299,170,3350,150240,2023-01-01 02:49:00
171,Facebook,2073,1870,4831,831577,2023-01-01 02:50:00
172,Twitter,7587,1663,443,312840,2023-01-01 02:51:00
173,Twitter,2164,7,1552,755933,2023-01-01 02:52:00
174,TikTok,8110,603,2913,936977,2023-01-01 02:53:00
175,Instagram,126,1520,4589,857411,2023-01-01 02:54:00
176,YouTube,2074,755,3120,339210,2023-01-01 02:55:00
177,TikTok,1338,1781,4111,608978,2023-01-01 02:56:00
178,YouTube,5314,1298,117,730743,2023-01-01 02:57:00
179,Facebook,9597,1503,1878,864599,2023-01-01 02:58:00
180,TikTok,9074,1269,2387,38433,2023-01-01 02:59:00
181,TikTok,7591,1533,3912,750381,2023-01-01 03:00:00
182,YouTube,160,161,1128,610092,2023-01-01 03:01:00
183,Facebook,368,1285,4932,124267,2023-01-01 03:02:00
184,Twitter,4785,1561,4377,967461,2023-01-01 03:03:00
185,LinkedIn,772,1371,921,703071,2023-01-01 03:04:00
186,Facebook,7859,599,3657,181354,2023-01-01 03:05:00
187,Facebook,8242,1035,3976,452274,2023-01-01 03:06:00
188,Twitter,1883,1780,1400,727645,2023-01-01 03:07:00
189,YouTube,5281,1852,1937,978623,2023-01-01 03:08:00
190,Twitter,2202,293,2426,57645,2023-01-01 03:09:00
191,TikTok,7574,1122,334,424898,2023-01-01 03:10:00
192,YouTube,3053,1008,3162,113666,2023-01-01 03:11:00
193,Twitter,4059,1200,813,284275,2023-01-01 03:12:00
194,Twitter,4906,945,3479,507366,2023-01-01 03:13:00
195,Instagram,6629,527,2715,927739,2023-01-01 03:14:00
196,YouTube,6010,589,4563,512214,2023-01-01 03:15:00
197,Facebook,1578,877,4944,305347,2023-01-01 03:16:00
198,Instagram,1265,749,2432,53478,2023-01-01 03:17:00
199,YouTube,1894,1443,33,501784,2023-01-01 03:18:00
200,YouTube,9518,1098,2675,468157,2023-01-01 03:19:00
201,TikTok,5439,1883,2112,239859,2023-01-01 03:20:00
202,LinkedIn,1439,851,2514,434172,2023-01-01 03:21:00
203,YouTube,9684,725,4915,253951,2023-01-01 03:22:00
204,Twitter,3285,1118,108,830770,2023-01-01 03:23:00
205,LinkedIn,4654,458,3585,327440,2023-01-01 03:24:00
206,Twitter,435,1965,4893,358462,2023-01-01 03:25:00
207,TikTok,3706,1752,3164,844079,2023-01-01 03:26:00
208,YouTube,6303,1178,2478,468078,2023-01-01 03:27:00
209,LinkedIn,1230,1338,628,941631,2023-01-01 03:28:00
210,Twitter,6780,1731,2894,316156,2023-01-01 03:29:00
211,Instagram,5923,1267,4305,230931,2023-01-01 03:30:00
212,YouTube,8293,1572,2602,722658,2023-01-01 03:31:00
213,YouTube,8380,636,3308,943496,2023-01-01 03:32:00
214,LinkedIn,6526,1286,1236,249201,2023-01-01 03:33:00
215,LinkedIn,2873,1659,4476,347442,2023-01-01 03:34:00
216,Facebook,8860,379,1454,6096,2023-01-01 03:35:00
217,TikTok,9204,413,463,279909,2023-01-01 03:36:00
218,Instagram,4671,742,27,47070,2023-01-01 03:37:00
219,Facebook,1484,33,3146,353777,2023-01-01 03:38:00
220,Instagram,119,295,4376,573792,2023-01-01 03:39:00
221,Twitter,6129,1451,2899,510426,2023-01-01 03:40:00
222,Facebook,8105,1427,3711,902150,2023-01-01 03:41:00
223,LinkedIn,9325,170,1373,721724,2023-01-01 03:42:00
224,Facebook,7898,48,1483,429345,2023-01-01 03:43:00
225,Twitter,5164,95,1747,874851,2023-01-01 03:44:00
226,TikTok,4095,785,4313,24713,2023-01-01 03:45:00
227,Instagram,2021,1285,1852,161625,2023-01-01 03:46:00
228,Facebook,4768,1751,1689,620961,2023-01-01 03:47:00
229,Twitter,7538,1954,3046,997794,2023-01-01 03:48:00
230,Twitter,3799,1496,205,559483,2023-01-01 03:49:00
231,Facebook,3783,1943,675,175797,2023-01-01 03:50:00
232,Twitter,7583,1721,4605,457023,2023-01-01 03:51:00
233,TikTok,3278,394,3726,604334,2023-01-01 03:52:00
234,TikTok,6434,1260,2712,184712,2023-01-01 03:53:00
235,Facebook,6723,1305,1540,319833,2023-01-01 03:54:00
236,Facebook,2955,1321,1047,547433,2023-01-01 03:55:00
237,Facebook,6938,500,642,38240,2023-01-01 03:56:00
238,Instagram,4695,417,2934,402573,2023-01-01 03:57:00
239,TikTok,9652,1140,1981,493615,2023-01-01 03:58:00
240,Twitter,9534,1654,1834,737747,2023-01-01 03:59:00
241,Facebook,9908,892,1424,384290,2023-01-01 04:00:00
242,YouTube,105,1606,4746,787452,2023-01-01 04:01:00
243,Instagram,3726,1087,1766,515006,2023-01-01 04:02:00
244,LinkedIn,5019,322,2052,721958,2023-01-01 04:03:00
245,YouTube,3033,36,2371,499367,2023-01-01 04:04:00
246,YouTube,4830,1202,2627,282629,2023-01-01 04:05:00
247,LinkedIn,8112,333,2280,517511,2023-01-01 04:06:00
248,LinkedIn,426,1128,4465,675969,2023-01-01 04:07:00
249,YouTube,9691,682,2331,193482,2023-01-01 04:08:00
250,Facebook,6243,1082,1721,819130,2023-01-01 04:09:00
251,Instagram,1793,1939,4422,740260,2023-01-01 04:10:00
252,YouTube,4347,53,3765,365677,2023-01-01 04:11:00
253,Facebook,2328,1475,3657,735514,2023-01-01 04:12:00
254,Twitter,91,1781,4485,584972,2023-01-01 04:13:00
255,Twitter,4025,1498,2945,283910,2023-01-01 04:14:00
256,LinkedIn,4570,516,2697,210318,2023-01-01 04:15:00
257,LinkedIn,2516,666,2648,56125,2023-01-01 04:16:00
258,Twitter,701,579,3441,205516,2023-01-01 04:17:00
259,LinkedIn,7284,1756,202,249910,2023-01-01 04:18:00
260,Instagram,2485,1916,3386,789616,2023-01-01 04:19:00
261,LinkedIn,8238,699,3131,165886,2023-01-01 04:20:00
262,Facebook,577,194,4990,282590,2023-01-01 04:21:00
263,Twitter,1663,1482,979,928531,2023-01-01 04:22:00
264,YouTube,576,914,4331,480625,2023-01-01 04:23:00
265,Facebook,9307,1049,376,502010,2023-01-01 04:24:00
266,Instagram,1902,158,1647,916119,2023-01-01 04:25:00
267,LinkedIn,2685,205,2095,575826,2023-01-01 04:26:00
268,LinkedIn,4596,130,4166,624360,2023-01-01 04:27:00
269,Instagram,3283,726,76,908812,2023-01-01 04:28:00
270,YouTube,9022,510,1092,225638,2023-01-01 04:29:00
271,Instagram,6614,1648,1852,285350,2023-01-01 04:30:00
272,TikTok,3071,241,3672,689023,2023-01-01 04:31:00
273,TikTok,5612,1451,3418,894785,2023-01-01 04:32:00
274,LinkedIn,5220,220,4588,560403,2023-01-01 04:33:00
275,Facebook,8441,547,1918,475689,2023-01-01 04:34:00
276,Twitter,7109,97,977,909941,2023-01-01 04:35:00
277,Instagram,7271,1055,3041,58171,2023-01-01 04:36:00
278,Instagram,3623,1110,2071,792002,2023-01-01 04:37:00
279,YouTube,7910,1330,3947,862994,2023-01-01 04:38:00
280,YouTube,6778,45,2737,613549,2023-01-01 04:39:00
281,LinkedIn,8852,306,212,770044,2023-01-01 04:40:00
282,Instagram,6552,739,4188,734418,2023-01-01 04:41:00
283,LinkedIn,4618,434,3677,222038,2023-01-01 04:42:00
284,TikTok,8006,555,4603,392076,2023-01-01 04:43:00
285,Instagram,3261,648,4120,904289,2023-01-01 04:44:00
286,Twitter,352,1409,4655,827636,2023-01-01 04:45:00
287,Twitter,9903,893,1839,807531,2023-01-01 04:46:00
288,Instagram,2710,1811,3767,72323,2023-01-01 04:47:00
289,Facebook,1991,617,4904,201238,2023-01-01 04:48:00
290,Instagram,878,891,1208,312839,2023-01-01 04:49:00
291,YouTube,1437,1357,79,118869,2023-01-01 04:50:00
292,Facebook,3650,1592,432,345256,2023-01-01 04:51:00
293,Instagram,680,147,1451,504686,2023-01-01 04:52:00
294,Facebook,5355,726,2752,28714,2023-01-01 04:53:00
295,Facebook,4289,1540,1697,700429,2023-01-01 04:54:00
296,Twitter,2976,176,3963,801560,2023-01-01 04:55:00
297,YouTube,3089,1149,866,427847,2023-01-01 04:56:00
298,Facebook,9257,1712,4101,888368,2023-01-01 04:57:00
299,YouTube,7195,1305,4186,323044,2023-01-01 04:58:00
300,TikTok,6331,344,4911,840797,2023-01-01 04:59:00
301,Instagram,266,577,533,733745,2023-01-01 05:00:00
302,TikTok,9529,1704,3214,182352,2023-01-01 05:01:00
303,YouTube,1355,706,3626,229110,2023-01-01 05:02:00
304,Instagram,9076,557,3190,71850,2023-01-01 05:03:00
305,LinkedIn,7775,1653,2121,852080,2023-01-01 05:04:00
306,Instagram,1628,1638,632,380659,2023-01-01 05:05:00
307,Facebook,7701,425,1806,524303,2023-01-01 05:06:00
308,Twitter,496,993,4797,611906,2023-01-01 05:07:00
309,TikTok,9803,1235,1789,362836,2023-01-01 05:08:00
310,Facebook,3575,1166,4734,592782,2023-01-01 05:09:00
311,YouTube,3382,506,1477,388797,2023-01-01 05:10:00
312,LinkedIn,4857,563,84,59435,2023-01-01 05:11:00
313,Instagram,8762,1278,356,151022,2023-01-01 05:12:00
314,LinkedIn,6257,1596,3721,19650,2023-01-01 05:13:00
315,LinkedIn,2792,778,2730,16678,2023-01-01 05:14:00
316,Facebook,2341,1086,594,232247,2023-01-01 05:15:00
317,Instagram,2408,1656,4501,910920,2023-01-01 05:16:00
318,LinkedIn,9599,869,1946,303345,2023-01-01 05:17:00
319,Twitter,3500,571,605,94610,2023-01-01 05:18:00
320,YouTube,3807,354,772,784369,2023-01-01 05:19:00
321,YouTube,6826,412,4634,794813,2023-01-01 05:20:00
322,LinkedIn,162,1750,2414,398527,2023-01-01 05:21:00
323,TikTok,5708,743,4629,910607,2023-01-01 05:22:00
324,Facebook,697,1402,2466,622581,2023-01-01 05:23:00
325,Instagram,6889,1736,4789,608278,2023-01-01 05:24:00
326,LinkedIn,2073,1976,604,512748,2023-01-01 05:25:00
327,Instagram,7406,402,3317,118485,2023-01-01 05:26:00
328,LinkedIn,6588,1557,2879,70802,2023-01-01 05:27:00
329,Twitter,5912,599,486,329800,2023-01-01 05:28:00
330,Instagram,5857,155,3811,609695,2023-01-01 05:29:00
331,LinkedIn,4940,488,4329,400407,2023-01-01 05:30:00
332,TikTok,7281,188,4048,560867,2023-01-01 05:31:00
333,Instagram,6259,1895,3274,14492,2023-01-01 05:32:00
334,YouTube,5633,158,880,410053,2023-01-01 05:33:00
335,LinkedIn,3403,1775,4382,495473,2023-01-01 05:34:00
336,TikTok,4074,53,2712,606350,2023-01-01 05:35:00
337,Instagram,7496,224,1779,582654,2023-01-01 05:36:00
338,Facebook,2136,938,2894,13299,2023-01-01 05:37:00
339,Twitter,1793,698,2978,597973,2023-01-01 05:38:00
340,TikTok,2707,1471,3994,398651,2023-01-01 05:39:00
341,Instagram,8353,813,933,723095,2023-01-01 05:40:00
342,LinkedIn,6741,1551,4067,551849,2023-01-01 05:41:00
343,Facebook,3063,1177,3670,718920,2023-01-01 05:42:00
344,LinkedIn,3648,1954,2432,489248,2023-01-01 05:43:00
345,YouTube,4992,1305,3393,487570,2023-01-01 05:44:00
346,YouTube,9001,1228,1256,806205,2023-01-01 05:45:00
347,TikTok,368,1208,3148,791654,2023-01-01 05:46:00
348,LinkedIn,7196,1363,2565,634229,2023-01-01 05:47:00
349,Facebook,3896,149,1412,806216,2023-01-01 05:48:00
350,Facebook,3936,68,1904,348200,2023-01-01 05:49:00
351,LinkedIn,233,953,3794,384699,2023-01-01 05:50:00
352,LinkedIn,8062,342,587,838017,2023-01-01 05:51:00
353,LinkedIn,7579,566,477,506781,2023-01-01 05:52:00
354,LinkedIn,2185,1971,1681,103194,2023-01-01 05:53:00
355,Instagram,3379,1719,384,132346,2023-01-01 05:54:00
356,Instagram,8603,763,3436,556696,2023-01-01 05:55:00
357,YouTube,1314,1636,4592,68867,2023-01-01 05:56:00
358,LinkedIn,543,1541,2521,318878,2023-01-01 05:57:00
359,LinkedIn,1582,1595,2945,347815,2023-01-01 05:58:00
360,YouTube,1584,1754,3148,461105,2023-01-01 05:59:00
361,LinkedIn,3098,1402,485,210469,2023-01-01 06:00:00
362,YouTube,1665,1572,751,671232,2023-01-01 06:01:00
363,LinkedIn,3334,87,3704,866488,2023-01-01 06:02:00
364,Twitter,7503,978,3708,881778,2023-01-01 06:03:00
365,YouTube,6389,1320,433,737317,2023-01-01 06:04:00
366,LinkedIn,2133,318,2093,749032,2023-01-01 06:05:00
367,Instagram,273,65,1431,841391,2023-01-01 06:06:00
368,YouTube,4592,752,1083,66460,2023-01-01 06:07:00
369,Facebook,9695,1707,1957,877720,2023-01-01 06:08:00
370,Twitter,8695,1665,3355,663630,2023-01-01 06:09:00
371,TikTok,8434,1633,1282,861758,2023-01-01 06:10:00
372,LinkedIn,8623,1260,2241,812844,2023-01-01 06:11:00
373,LinkedIn,1164,990,60,260237,2023-01-01 06:12:00
374,LinkedIn,5329,999,3340,836756,2023-01-01 06:13:00
375,YouTube,4288,827,4938,878312,2023-01-01 06:14:00
376,LinkedIn,8196,1074,3701,635876,2023-01-01 06:15:00
377,Instagram,8545,1450,239,190400,2023-01-01 06:16:00
378,Twitter,464,628,4703,946226,2023-01-01 06:17:00
379,Facebook,149,1326,1108,836156,2023-01-01 06:18:00
380,YouTube,4489,519,4572,444576,2023-01-01 06:19:00
381,YouTube,3962,1788,4860,211602,2023-01-01 06:20:00
382,YouTube,2336,1201,1208,104497,2023-01-01 06:21:00
383,TikTok,8044,1581,3654,957935,2023-01-01 06:22:00
384,TikTok,6295,803,4390,83265,2023-01-01 06:23:00
385,Facebook,8783,429,4337,543618,2023-01-01 06:24:00
386,Facebook,3347,1431,1401,17100,2023-01-01 06:25:00
387,Facebook,3047,731,814,5363,2023-01-01 06:26:00
388,Twitter,9816,751,1458,875722,2023-01-01 06:27:00
389,LinkedIn,7828,929,4012,762504,2023-01-01 06:28:00
390,Twitter,5639,1246,440,19739,2023-01-01 06:29:00
391,Twitter,4344,1903,999,58235,2023-01-01 06:30:00
392,Twitter,571,1716,2170,514621,2023-01-01 06:31:00
393,Instagram,1631,1281,2154,761556,2023-01-01 06:32:00
394,YouTube,7626,1572,4307,275698,2023-01-01 06:33:00
395,Instagram,5908,942,207,873512,2023-01-01 06:34:00
396,LinkedIn,2933,1915,3602,385157,2023-01-01 06:35:00
397,Instagram,9325,1869,966,971307,2023-01-01 06:36:00
398,TikTok,3944,842,554,141518,2023-01-01 06:37:00
399,YouTube,3093,592,728,530794,2023-01-01 06:38:00
400,Instagram,2618,495,2712,528137,2023-01-01 06:39:00
401,Instagram,3516,1700,291,516621,2023-01-01 06:40:00
402,YouTube,6977,227,986,415672,2023-01-01 06:41:00
403,LinkedIn,7088,417,4932,113434,2023-01-01 06:42:00
404,YouTube,8308,324,579,354268,2023-01-01 06:43:00
405,Facebook,5385,264,4083,906468,2023-01-01 06:44:00
406,Twitter,8688,120,3508,167229,2023-01-01 06:45:00
407,TikTok,8717,1424,3651,220942,2023-01-01 06:46:00
408,Twitter,3354,1562,2839,765383,2023-01-01 06:47:00
409,TikTok,9189,481,174,384612,2023-01-01 06:48:00
410,Twitter,5336,1459,3766,163695,2023-01-01 06:49:00
411,TikTok,6738,215,4945,206998,2023-01-01 06:50:00
412,Facebook,8476,175,4640,428624,2023-01-01 06:51:00
413,Twitter,6309,389,4340,508340,2023-01-01 06:52:00
414,Instagram,1693,1412,1670,144969,2023-01-01 06:53:00
415,LinkedIn,9094,350,1604,60130,2023-01-01 06:54:00
416,Facebook,9775,1746,1633,142883,2023-01-01 06:55:00
417,Twitter,5237,585,880,188070,2023-01-01 06:56:00
418,Facebook,9508,1663,4340,825651,2023-01-01 06:57:00
419,Instagram,3558,654,4092,10553,2023-01-01 06:58:00
420,YouTube,4677,1264,3908,530908,2023-01-01 06:59:00
421,LinkedIn,9665,512,1911,706744,2023-01-01 07:00:00
422,YouTube,6870,512,1406,698640,2023-01-01 07:01:00
423,TikTok,2459,155,873,992986,2023-01-01 07:02:00
424,YouTube,704,533,2649,704070,2023-01-01 07:03:00
425,TikTok,8760,1443,1805,73433,2023-01-01 07:04:00
426,LinkedIn,9197,1568,486,190663,2023-01-01 07:05:00
427,Instagram,9420,1080,858,642796,2023-01-01 07:06:00
428,LinkedIn,6907,656,2805,190358,2023-01-01 07:07:00
429,Twitter,9131,1031,2418,28098,2023-01-01 07:08:00
430,Instagram,9951,95,2885,221834,2023-01-01 07:09:00
431,Facebook,1955,801,4205,410815,2023-01-01 07:10:00
432,YouTube,2553,831,810,668425,2023-01-01 07:11:00
433,YouTube,3253,1698,1358,33425,2023-01-01 07:12:00
434,Facebook,1020,1811,1120,454253,2023-01-01 07:13:00
435,LinkedIn,2580,376,3250,551215,2023-01-01 07:14:00
436,Twitter,5567,409,1130,358133,2023-01-01 07:15:00
437,TikTok,1449,1562,979,22133,2023-01-01 07:16:00
438,Instagram,5335,1836,1924,173276,2023-01-01 07:17:00
439,Facebook,594,1052,3234,816747,2023-01-01 07:18:00
440,LinkedIn,4671,1918,187,5917,2023-01-01 07:19:00
441,Facebook,5733,420,3764,418578,2023-01-01 07:20:00
